ballotID,ballot_type,countingGroup,district,districtType,precinct,precinctPortion,votingLocation,rank1,rank2,rank3,numSeats,numCands
00002_00000_841914,Ballot 2 - Type 2,Election Day,CENTRAL,DISTRICT,WARD 2,WARD 2,CITY OF BURLINGTON,MELO GRANT,Write-in,AVERY MUZIKAR,1,3
00002_00000_234704,Ballot 2 - Type 2,Election Day,CENTRAL,DISTRICT,WARD 2,WARD 2,CITY OF BURLINGTON,AVERY MUZIKAR,skipped,skipped,1,3
00002_00000_019461,Ballot 2 - Type 2,Election Day,CENTRAL,DISTRICT,WARD 2,WARD 2,CITY OF BURLINGTON,MELO GRANT,AVERY MUZIKAR,skipped,1,3
00002_00000_774002,Ballot 2 - Type 2,Election Day,CENTRAL,DISTRICT,WARD 2,WARD 2,CITY OF BURLINGTON,AVERY MUZIKAR,skipped,skipped,1,3
00002_00000_054432,Ballot 2 - Type 2,Election Day,CENTRAL,DISTRICT,WARD 2,WARD 2,CITY OF BURLINGTON,MELO GRANT,skipped,skipped,1,3
00002_00000_454111,Ballot 2 - Type 2,Election Day,CENTRAL,DISTRICT,WARD 2,WARD 2,CITY OF BURLINGTON,MELO GRANT,AVERY MUZIKAR,skipped,1,3
00002_00000_895299,Ballot 2 - Type 2,Election Day,CENTRAL,DISTRICT,WARD 2,WARD 2,CITY OF BURLINGTON,MELO GRANT,AVERY MUZIKAR,skipped,1,3
00002_00000_852841,Ballot 2 - Type 2,Election Day,CENTRAL,DISTRICT,WARD 2,WARD 2,CITY OF BURLINGTON,MELO GRANT,skipped,skipped,1,3
00002_00000_625989,Ballot 2 - Type 2,Election Day,CENTRAL,DISTRICT,WARD 2,WARD 2,CITY OF BURLINGTON,AVERY MUZIKAR,Write-in,skipped,1,3
00002_00000_580759,Ballot 2 - Type 2,Election Day,CENTRAL,DISTRICT,WARD 2,WARD 2,CITY OF BURLINGTON,MELO GRANT,skipped,skipped,1,3
00002_00000_656985,Ballot 2 - Type 2,Election Day,CENTRAL,DISTRICT,WARD 2,WARD 2,CITY OF BURLINGTON,MELO GRANT,skipped,skipped,1,3
00002_00000_576616,Ballot 2 - Type 2,Election Day,CENTRAL,DISTRICT,WARD 2,WARD 2,CITY OF BURLINGTON,AVERY MUZIKAR,skipped,skipped,1,3
00002_00000_731769,Ballot 2 - Type 2,Election Day,CENTRAL,DISTRICT,WARD 2,WARD 2,CITY OF BURLINGTON,MELO GRANT,AVERY MUZIKAR,skipped,1,3
00002_00000_236771,Ballot 2 - Type 2,Election Day,CENTRAL,DISTRICT,WARD 2,WARD 2,CITY OF BURLINGTON,MELO GRANT,skipped,skipped,1,3
00002_00000_342628,Ballot 2 - Type 2,Election Day,CENTRAL,DISTRICT,WARD 2,WARD 2,CITY OF BURLINGTON,MELO GRANT,AVERY MUZIKAR,skipped,1,3
00002_00000_629137,Ballot 2 - Type 2,Election Day,CENTRAL,DISTRICT,WARD 2,WARD 2,CITY OF BURLINGTON,AVERY MUZIKAR,MELO GRANT,skipped,1,3
00002_00000_719541,Ballot 2 - Type 2,Election Day,CENTRAL,DISTRICT,WARD 2,WARD 2,CITY OF BURLINGTON,MELO GRANT,AVERY MUZIKAR,skipped,1,3
00002_00000_905478,Ballot 2 - Type 2,Election Day,CENTRAL,DISTRICT,WARD 2,WARD 2,CITY OF BURLINGTON,AVERY MUZIKAR,MELO GRANT,skipped,1,3
00002_00000_927122,Ballot 2 - Type 2,Election Day,CENTRAL,DISTRICT,WARD 2,WARD 2,CITY OF BURLINGTON,MELO GRANT,AVERY MUZIKAR,skipped,1,3
00002_00000_360024,Ballot 2 - Type 2,Election Day,CENTRAL,DISTRICT,WARD 2,WARD 2,CITY OF BURLINGTON,MELO GRANT,AVERY MUZIKAR,skipped,1,3
